CaO,SiO2,MgO,Al2O3,Temperatura,Cs,Cs - Python,ERRO (%)
40.0,40.0,1.041666667,18.95833333,1773,-4.103546258,-4.108266059,0.17292561525626243
40.0,40.0,0.208333333,19.79166667,1673,-4.551561935,-4.560564886,0.14890081130564717
40.0,16.66666667,5.0,38.33333333,1723,-3.764550242,-3.747804563,0.334003754872581
40.0,40.0,3.541666667,16.45833333,1673,-4.486340267,-4.479332268,0.06673718162609818
40.0,40.0,3.958333333,16.04166667,1773,-4.036714807,-4.036735253,0.24121801041241905
53.75,26.25,0.0,20.0,1773,-3.265936969,-3.264719906,0.08350263010310517
40.0,35.0,5.0,20.0,1673,-4.368574859,-4.365416867,0.13172362753186784
47.5,32.5,0.0,20.0,1673,-4.168985824,-4.158127867,0.18134575812151896
50.0,30.0,0.0,20.0,1773,-3.51549146,-3.516809577,0.07834301817097102
59.25,20.75,0.0,20.0,1723,-3.172973441,-3.179438258,0.26607459068725353
40.0,40.0,4.375,15.625,1673,-4.469915137,-4.4586863,0.16182467565629072
46.875,33.125,0.0,20.0,1673,-4.20255989,-4.191627156,0.1790083744286955
40.0,16.66666667,5.0,38.33333333,1673,-4.030474389,-4.033693043,0.15103875820509552
40.0,40.0,0.416666667,19.58333333,1723,-4.32640801,-4.326225353,0.14168052146348054
62.0,18.0,0.0,20.0,1723,-2.98231317,-2.98326117,0.2806652503495496
52.375,27.625,0.0,20.0,1673,-3.897989611,-3.900305635,0.20599859592948683
40.0,40.0,0.833333333,19.16666667,1673,-4.53939087,-4.544706714,0.10513143743031887
40.0,23.33333333,5.0,31.66666667,1673,-4.15562123,-4.160292392,0.0795464329338181
47.5,32.5,0.0,20.0,1673,-4.168985824,-4.158127867,0.18134575812151896
40.0,20.0,5.0,35.0,1673,-4.093369544,-4.097521224,0.1140325425213554
64.75,15.25,0.0,20.0,1673,-3.128565138,-3.120602396,0.1784854211191433
40.0,20.0,5.0,35.0,1773,-3.587117659,-3.584722701,0.002006523665643337
62.0,18.0,0.0,20.0,1673,-3.310643178,-3.311950292,0.21712393245302566
40.0,8.333333333,5.0,46.66666667,1773,-3.326525031,-3.32821089,0.23717819560985423
66.125,13.875,0.0,20.0,1723,-2.682688273,-2.667553338,0.41121820233253925
47.5,32.5,0.0,20.0,1773,-3.675475321,-3.679554826,0.09143540318261134
40.0,40.0,1.25,18.75,1723,-4.308753718,-4.310918299,0.11509353868610771
40.0,6.666666667,5.0,48.33333333,1673,-3.837826759,-3.850086725,0.2158570683417661
56.25,23.75,0.0,20.0,1723,-3.373204607,-3.375709741,0.22495788636247233
40.0,18.33333333,5.0,36.66666667,1723,-3.798812255,-3.785187575,0.297352088514783
55.125,24.875,0.0,20.0,1673,-3.737609764,-3.749153469,0.22405806421625
57.5,22.5,0.0,20.0,1773,-3.004135939,-3.00671021,0.09660787172118987
51.25,28.75,0.0,20.0,1773,-3.433613896,-3.433531507,0.07705309489719724
60.0,20.0,0.0,20.0,1673,-3.438879508,-3.4476423,0.23713058012405983
40.0,40.0,1.25,18.75,1773,-4.098795239,-4.10548952,0.1678233230282395
40.0,41.66666667,5.0,13.33333333,1773,-4.046996377,-4.021914627,0.41017416770479276
40.0,40.0,4.166666667,15.83333333,1723,-4.246555553,-4.256074763,0.19268517215220393
40.0,35.0,5.0,20.0,1723,-4.131962376,-4.148698083,0.19963739756738724
40.0,40.0,1.25,18.75,1773,-4.098795239,-4.10548952,0.1678233230282395
63.375,16.625,0.0,20.0,1773,-2.567117687,-2.5696732,0.12512246893556794
53.75,26.25,0.0,20.0,1723,-3.534202905,-3.528998619,0.1822692282707212
42.5,37.5,0.0,20.0,1773,-3.981144442,-3.980658105,0.15096298428422475
65.0,15.0,0.0,20.0,1723,-2.766090969,-2.754917761,0.34167619609762495
40.0,40.0,0.0,20.0,1723,-4.335215863,-4.333285222,0.15397961358166026
35.0,45.0,5.0,10.0,1723,-4.470500193,-4.454425355,0.5484468995029862
62.0,18.0,0.0,20.0,1723,-2.98231317,-2.98326117,0.2806652503495496
42.75,37.25,0.0,20.0,1773,-3.966294186,-3.966560328,0.1473054301731641
40.0,40.0,5.0,15.0,1723,-4.228667094,-4.240078242,0.29804187258989395
40.0,38.33333333,5.0,16.66666667,1723,-4.196593373,-4.211867349,0.26017026207304017
40.0,25.0,5.0,30.0,1773,-3.695950985,-3.696760631,-0.03175629328061548
56.5,23.5,0.0,20.0,1773,-3.075197583,-3.076315389,0.09500786072441707
61.25,18.75,0.0,20.0,1673,-3.359135009,-3.363400582,0.22681384217449152
40.0,40.0,3.333333333,16.66666667,1723,-4.264391574,-4.271716545,0.12142990589630037
51.0,29.0,0.0,20.0,1723,-3.705465624,-3.693573046,0.1432742824631264
40.0,21.66666667,5.0,33.33333333,1723,-3.866809138,-3.859647847,0.23046146399477957
50.0,30.0,0.0,20.0,1773,-3.51549146,-3.516809577,0.07834301817097102
45.0,35.0,0.0,20.0,1773,-3.830620911,-3.834911219,0.116939552543567
40.0,40.0,2.5,17.5,1773,-4.070216117,-4.080578311,0.16360024945486176
40.0,40.0,2.5,17.5,1773,-4.070216117,-4.080578311,0.16360024945486176
47.5,32.5,0.0,20.0,1773,-3.675475321,-3.679554826,0.09143540318261134
70.25,9.75,0.0,20.0,1673,-2.742962371,-2.752549703,0.4419922400731531
71.625,8.375,0.0,20.0,1723,-2.255466697,-2.255893665,1.2087556299640292
41.375,38.625,0.0,20.0,1673,-4.487300983,-4.491437006,0.16626692101894708
40.0,40.0,3.125,16.875,1673,-4.494534783,-4.489444604,0.04194755489180532
41.375,38.625,0.0,20.0,1673,-4.487300983,-4.491437006,0.16626692101894708
68.875,11.125,0.0,20.0,1723,-2.473230204,-2.456183861,0.7345340199781206
51.0,29.0,0.0,20.0,1773,-3.450092185,-3.450262736,0.07703584802541168
40.0,40.0,4.791666667,15.20833333,1673,-4.46168447,-4.448162272,0.22817490902641907
40.0,13.33333333,5.0,41.66666667,1673,-3.966925734,-3.97049751,0.18246343963856823
40.0,5.0,5.0,50.0,1773,-3.250306468,-3.262513707,0.2548411502831661
68.875,11.125,0.0,20.0,1723,-2.473230204,-2.456183861,0.7345340199781206
40.0,40.0,2.291666667,17.70833333,1673,-4.510887849,-4.509367067,0.03598530389920133
41.375,38.625,0.0,20.0,1773,-4.047426749,-4.042727139,0.167859439552777
40.0,40.0,1.666666667,18.33333333,1723,-4.299907222,-4.303018424,0.10231304732616608
40.0,40.0,5.0,15.0,1723,-4.228667094,-4.240078242,0.29804187258989395
40.0,33.33333333,5.0,21.66666667,1773,-3.873684435,-3.878358151,0.10979925542161949
45.5,34.5,0.0,20.0,1673,-4.275526613,-4.265957535,0.17451972949300387
40.0,40.0,4.583333333,15.41666667,1773,-4.022304376,-4.013889802,0.29751316183290366
63.75,16.25,0.0,20.0,1773,-2.538033518,-2.539671958,0.14171872596169216
60.0,20.0,0.0,20.0,1773,-2.822345712,-2.827817452,0.0900828697023037
56.5,23.5,0.0,20.0,1673,-3.655269545,-3.668943765,0.23258227168240111
63.375,16.625,0.0,20.0,1673,-3.220455965,-3.216521593,0.19556121323954995
40.0,40.0,1.458333333,18.54166667,1673,-4.527193135,-4.529327921,0.06846731292910238
40.0,23.33333333,5.0,31.66666667,1723,-3.900546705,-3.896570933,0.2037801765904842
56.25,23.75,0.0,20.0,1773,-3.09281887,-3.093598706,0.09425840212013122
40.0,41.66666667,5.0,13.33333333,1773,-4.046996377,-4.021914627,0.41017416770479276
40.0,10.0,5.0,45.0,1723,-3.625712934,-3.602573598,0.4468617172677716
40.0,26.66666667,5.0,28.33333333,1723,-3.967506728,-3.970003441,0.16820602314059424
66.125,13.875,0.0,20.0,1773,-2.350321115,-2.344684286,0.3525015005835618
40.0,10.0,5.0,45.0,1673,-3.902713342,-3.909186447,0.20403870029360668
40.0,20.0,5.0,35.0,1773,-3.587117659,-3.584722701,0.002006523665643337
40.0,40.0,0.0,20.0,1673,-4.555613045,-4.565931955,0.1650236180915908
52.5,27.5,0.0,20.0,1673,-3.890820862,-3.893627547,0.20677707743028506
40.0,25.0,5.0,30.0,1673,-4.186508849,-4.190900628,0.06665161405072764
40.0,30.0,5.0,25.0,1773,-3.803131039,-3.808136441,0.028955452794725684
50.0,30.0,0.0,20.0,1773,-3.51549146,-3.516809577,0.07834301817097102
66.125,13.875,0.0,20.0,1673,-3.034921967,-3.025285307,0.18197742680835607
64.75,15.25,0.0,20.0,1773,-2.459743209,-2.458519899,0.20673255886495256
55.125,24.875,0.0,20.0,1673,-3.737609764,-3.749153469,0.22405806421625
68.75,11.25,0.0,20.0,1673,-2.851097893,-2.848583511,0.2992830222574911
68.75,11.25,0.0,20.0,1673,-2.851097893,-2.848583511,0.2992830222574911
48.25,31.75,0.0,20.0,1673,-4.128355159,-4.118171047,0.18439600123415678
71.625,8.375,0.0,20.0,1723,-2.255466697,-2.255893665,1.2087556299640292
47.5,32.5,0.0,20.0,1723,-3.915069944,-3.902652471,0.11767394095303722
40.0,40.0,3.333333333,16.66666667,1773,-4.051093555,-4.057235546,0.19795118393367384
40.0,40.0,4.791666667,15.20833333,1773,-4.017493841,-4.005788922,0.3192290485036044
40.0,25.0,5.0,30.0,1673,-4.186508849,-4.190900628,0.06665161405072764
40.0,25.0,5.0,30.0,1723,-3.93411213,-3.933331853,0.18287625497891474
63.375,16.625,0.0,20.0,1673,-3.220455965,-3.216521593,0.19556121323954995
46.875,33.125,0.0,20.0,1673,-4.20255989,-4.191627156,0.1790083744286955
40.0,10.0,5.0,45.0,1723,-3.625712934,-3.602573598,0.4468617172677716
40.0,40.0,5.0,15.0,1773,-4.01267977,-3.997462718,0.3425749336090985
63.375,16.625,0.0,20.0,1723,-2.884307164,-2.879926229,0.2933088122052634
59.25,20.75,0.0,20.0,1773,-2.87751449,-2.882396373,0.09312330695231116
40.0,40.0,0.625,19.375,1673,-4.543450851,-4.549942559,0.11895540837375283
66.25,13.75,0.0,20.0,1773,-2.340270092,-2.334236806,0.36917561966795853
52.375,27.625,0.0,20.0,1673,-3.897989611,-3.900305635,0.20599859592948683
57.5,22.5,0.0,20.0,1673,-3.594455158,-3.608212274,0.23738215394643902
40.0,40.0,3.333333333,16.66666667,1773,-4.051093555,-4.057235546,0.19795118393367384
40.0,40.0,2.916666667,17.08333333,1723,-4.273289992,-4.279481324,0.10136153423172518
63.75,16.25,0.0,20.0,1723,-2.857259144,-2.851294516,0.30022538085857303
65.0,15.0,0.0,20.0,1723,-2.766090969,-2.754917761,0.34167619609762495
67.5,12.5,0.0,20.0,1673,-2.939475844,-2.931589802,0.22230584383322574
57.875,22.125,0.0,20.0,1773,-2.977247484,-2.980375187,0.09653319305113157
40.0,40.0,2.5,17.5,1723,-4.282175387,-4.287270835,0.09241864676658354
40.0,35.0,5.0,20.0,1773,-3.908695212,-3.911160873,0.16026779560507545
40.0,40.0,1.666666667,18.33333333,1773,-4.089282787,-4.098694901,0.15998124961251084
40.0,36.66666667,5.0,18.33333333,1723,-4.164358871,-4.181294056,0.22701832217547863
68.875,11.125,0.0,20.0,1673,-2.842174192,-2.840421133,0.30916466851220276
53.75,26.25,0.0,20.0,1673,-3.818503864,-3.825993579,0.21486700083757357
62.5,17.5,0.0,20.0,1673,-3.27804194,-3.277375846,0.2095703353759543
40.0,40.0,0.208333333,19.79166667,1673,-4.551561935,-4.560564886,0.14890081130564717
40.0,40.0,1.875,18.125,1773,-4.084521346,-4.09470736,0.1581027710797018
51.0,29.0,0.0,20.0,1723,-3.705465624,-3.693573046,0.1432742824631264
42.5,37.5,0.0,20.0,1723,-4.199339518,-4.195118503,0.13098323793160987
57.875,22.125,0.0,20.0,1723,-3.265724242,-3.271543403,0.2502578568255046
45.0,35.0,0.0,20.0,1723,-4.059353969,-4.050778628,0.11768041783921404
40.0,40.0,0.0,20.0,1773,-4.127249429,-4.115483288,0.18906933698414846
40.0,40.0,2.708333333,17.29166667,1773,-4.065440726,-4.075198638,0.16939265814388382
40.0,18.33333333,5.0,36.66666667,1723,-3.798812255,-3.785187575,0.297352088514783
40.0,6.666666667,5.0,48.33333333,1773,-3.288515781,-3.294564665,0.24940538293908915
63.75,16.25,0.0,20.0,1723,-2.857259144,-2.851294516,0.30022538085857303
65.0,15.0,0.0,20.0,1723,-2.766090969,-2.754917761,0.34167619609762495
60.625,19.375,0.0,20.0,1673,-3.399173718,-3.405790774,0.23293696000304967
46.25,33.75,0.0,20.0,1773,-3.753639078,-3.758315613,0.10284863657022614
40.0,6.666666667,5.0,48.33333333,1723,-3.555201,-3.535865313,0.4653191542519899
40.0,40.0,3.75,16.25,1723,-4.255480104,-4.263928808,0.1522474458762184
40.0,13.33333333,5.0,41.66666667,1773,-3.439368001,-3.435933273,0.154550579674347
56.5,23.5,0.0,20.0,1773,-3.075197583,-3.076315389,0.09500786072441707
40.0,40.0,2.083333333,17.91666667,1773,-4.079756423,-4.090347949,0.15798617407025273
40.0,38.33333333,5.0,16.66666667,1673,-4.428049678,-4.418656793,0.21515189361949247
40.0,30.0,5.0,25.0,1773,-3.803131039,-3.808136441,0.028955452794725684
52.5,27.5,0.0,20.0,1723,-3.612789435,-3.603991446,0.16287307510531138
56.5,23.5,0.0,20.0,1673,-3.655269545,-3.668943765,0.23258227168240111
45.5,34.5,0.0,20.0,1723,-4.0308473,-4.021370669,0.11652289871327653
70.25,9.75,0.0,20.0,1723,-2.365417201,-2.354096739,0.9631361159529596
40.0,40.0,4.375,15.625,1673,-4.469915137,-4.4586863,0.16182467565629072
40.0,40.0,2.708333333,17.29166667,1773,-4.065440726,-4.075198638,0.16939265814388382
40.0,40.0,3.958333333,16.04166667,1673,-4.478133727,-4.469079973,0.10720111611843278
67.5,12.5,0.0,20.0,1673,-2.939475844,-2.931589802,0.22230584383322574
40.0,16.66666667,5.0,38.33333333,1773,-3.513624637,-3.51026342,0.07324889000376454
40.0,21.66666667,5.0,33.33333333,1673,-4.124575202,-4.129133165,0.09583727145080233
40.0,11.66666667,5.0,43.33333333,1773,-3.401949599,-3.399219442,0.18945231625459855
48.25,31.75,0.0,20.0,1673,-4.128355159,-4.118171047,0.18439600123415678
40.0,38.33333333,5.0,16.66666667,1673,-4.428049678,-4.418656793,0.21515189361949247
40.0,20.0,5.0,35.0,1723,-3.832898101,-3.822511276,0.2621258985305267
42.75,37.25,0.0,20.0,1673,-4.417867925,-4.416288786,0.16819585974381648
68.875,11.125,0.0,20.0,1673,-2.842174192,-2.840421133,0.30916466851220276
53.75,26.25,0.0,20.0,1723,-3.534202905,-3.528998619,0.1822692282707212
52.5,27.5,0.0,20.0,1673,-3.890820862,-3.893627547,0.20677707743028506
40.0,40.0,4.791666667,15.20833333,1773,-4.017493841,-4.005788922,0.3192290485036044
40.0,16.66666667,5.0,38.33333333,1673,-4.030474389,-4.033693043,0.15103875820509552
40.0,36.66666667,5.0,18.33333333,1773,-3.943530484,-3.942045971,0.21651081642550107
47.5,32.5,0.0,20.0,1673,-4.168985824,-4.158127867,0.18134575812151896
68.75,11.25,0.0,20.0,1723,-2.482927546,-2.465621265,0.7154540563605533
40.0,35.0,5.0,20.0,1723,-4.131962376,-4.148698083,0.19963739756738724
63.375,16.625,0.0,20.0,1723,-2.884307164,-2.879926229,0.2933088122052634
50.0,30.0,0.0,20.0,1723,-3.766286371,-3.753288544,0.13292422808276572
45.0,35.0,0.0,20.0,1723,-4.059353969,-4.050778628,0.11768041783921404
63.375,16.625,0.0,20.0,1673,-3.220455965,-3.216521593,0.19556121323954995
40.0,6.666666667,5.0,48.33333333,1673,-3.837826759,-3.850086725,0.2158570683417661
40.0,40.0,4.166666667,15.83333333,1773,-4.031914855,-4.029371589,0.2585561205207433
40.0,13.33333333,5.0,41.66666667,1673,-3.966925734,-3.97049751,0.18246343963856823
52.5,27.5,0.0,20.0,1773,-3.350439419,-3.349425416,0.07901974458156388
40.0,43.33333333,5.0,11.66666667,1773,-4.081142667,-4.044264143,0.4792311770245201
63.375,16.625,0.0,20.0,1723,-2.884307164,-2.879926229,0.2933088122052634
40.0,40.0,1.458333333,18.54166667,1773,-4.09404075,-4.102294224,0.16334893609329615
48.25,31.75,0.0,20.0,1673,-4.128355159,-4.118171047,0.18439600123415678
65.0,15.0,0.0,20.0,1673,-3.111670904,-3.103196081,0.17707344921258225
57.5,22.5,0.0,20.0,1673,-3.594455158,-3.608212274,0.23738215394643902
40.0,18.33333333,5.0,36.66666667,1773,-3.550465862,-3.547503457,0.034340232732589814
40.0,40.0,2.708333333,17.29166667,1773,-4.065440726,-4.075198638,0.16939265814388382
40.0,40.0,0.208333333,19.79166667,1773,-4.122515706,-4.11495344,0.18868214900523564
42.5,37.5,0.0,20.0,1773,-3.981144442,-3.980658105,0.15096298428422475
55.0,25.0,0.0,20.0,1673,-3.745022953,-3.756267844,0.22323014147994605
46.25,33.75,0.0,20.0,1773,-3.753639078,-3.758315613,0.10284863657022614
40.0,40.0,3.75,16.25,1773,-4.041511238,-4.043838067,0.22530599094545697
40.0,40.0,0.0,20.0,1773,-4.127249429,-4.115483288,0.18906933698414846
57.5,22.5,0.0,20.0,1773,-3.004135939,-3.00671021,0.09660787172118987
40.0,40.0,1.041666667,18.95833333,1773,-4.103546258,-4.108266059,0.17292561525626243
57.875,22.125,0.0,20.0,1723,-3.265724242,-3.271543403,0.2502578568255046
70.25,9.75,0.0,20.0,1723,-2.365417201,-2.354096739,0.9631361159529596
40.0,28.33333333,5.0,26.66666667,1723,-4.000731799,-4.006609148,0.16014400156651673
53.75,26.25,0.0,20.0,1673,-3.818503864,-3.825993579,0.21486700083757357
66.125,13.875,0.0,20.0,1673,-3.034921967,-3.025285307,0.18197742680835607
40.0,28.33333333,5.0,26.66666667,1723,-4.000731799,-4.006609148,0.16014400156651673
40.0,38.33333333,5.0,16.66666667,1723,-4.196593373,-4.211867349,0.26017026207304017
40.0,40.0,1.458333333,18.54166667,1673,-4.527193135,-4.529327921,0.06846731292910238
70.25,9.75,0.0,20.0,1673,-2.742962371,-2.752549703,0.4419922400731531
67.5,12.5,0.0,20.0,1723,-2.578967435,-2.561079206,0.5460642828890561
66.25,13.75,0.0,20.0,1773,-2.340270092,-2.334236806,0.36917561966795853
40.0,23.33333333,5.0,31.66666667,1673,-4.15562123,-4.160292392,0.0795464329338181
40.0,40.0,3.333333333,16.66666667,1773,-4.051093555,-4.057235546,0.19795118393367384
64.75,15.25,0.0,20.0,1723,-2.784449851,-2.774280723,0.33070827926515206
52.5,27.5,0.0,20.0,1723,-3.612789435,-3.603991446,0.16287307510531138
40.0,40.0,4.583333333,15.41666667,1773,-4.022304376,-4.013889802,0.29751316183290366
59.25,20.75,0.0,20.0,1673,-3.486092819,-3.497038329,0.23971049312242151
66.125,13.875,0.0,20.0,1773,-2.350321115,-2.344684286,0.3525015005835618
46.875,33.125,0.0,20.0,1673,-4.20255989,-4.191627156,0.1790083744286955
59.25,20.75,0.0,20.0,1723,-3.172973441,-3.179438258,0.26607459068725353
40.0,40.0,5.0,15.0,1773,-4.01267977,-3.997462718,0.3425749336090985
40.0,6.666666667,5.0,48.33333333,1723,-3.555201,-3.535865313,0.4653191542519899
40.0,30.0,5.0,25.0,1723,-4.033788631,-4.043062973,0.15906674514223312
70.25,9.75,0.0,20.0,1773,-2.009166175,-1.998615463,1.144195588792356
55.0,25.0,0.0,20.0,1723,-3.454351556,-3.453134727,0.2034373008322716
70.25,9.75,0.0,20.0,1673,-2.742962371,-2.752549703,0.4419922400731531
40.0,40.0,1.458333333,18.54166667,1773,-4.09404075,-4.102294224,0.16334893609329615
40.0,23.33333333,5.0,31.66666667,1723,-3.900546705,-3.896570933,0.2037801765904842
65.0,15.0,0.0,20.0,1673,-3.111670904,-3.103196081,0.17707344921258225
68.875,11.125,0.0,20.0,1673,-2.842174192,-2.840421133,0.30916466851220276
55.0,25.0,0.0,20.0,1723,-3.454351556,-3.453134727,0.2034373008322716
59.25,20.75,0.0,20.0,1723,-3.172973441,-3.179438258,0.26607459068725353
59.25,20.75,0.0,20.0,1773,-2.87751449,-2.882396373,0.09312330695231116
40.0,40.0,1.666666667,18.33333333,1723,-4.299907222,-4.303018424,0.10231304732616608
40.0,11.66666667,5.0,43.33333333,1773,-3.401949599,-3.399219442,0.18945231625459855
40.0,18.33333333,5.0,36.66666667,1773,-3.550465862,-3.547503457,0.034340232732589814
40.0,40.0,2.083333333,17.91666667,1723,-4.291047788,-4.295117678,0.0935914750509056
63.75,16.25,0.0,20.0,1673,-3.195565801,-3.19036372,0.18985650124332104
56.5,23.5,0.0,20.0,1773,-3.075197583,-3.076315389,0.09500786072441707
56.25,23.75,0.0,20.0,1723,-3.373204607,-3.375709741,0.22495788636247233
40.0,40.0,1.458333333,18.54166667,1773,-4.09404075,-4.102294224,0.16334893609329615
52.375,27.625,0.0,20.0,1673,-3.897989611,-3.900305635,0.20599859592948683
40.0,40.0,1.666666667,18.33333333,1673,-4.523121282,-4.524297332,0.05813486328691376
40.0,40.0,3.125,16.875,1773,-4.055879449,-4.063516304,0.1866671603576978
60.0,20.0,0.0,20.0,1673,-3.438879508,-3.4476423,0.23713058012405983
40.0,40.0,3.75,16.25,1723,-4.255480104,-4.263928808,0.1522474458762184
61.25,18.75,0.0,20.0,1773,-2.729164222,-2.734713158,0.08795998676918712
67.5,12.5,0.0,20.0,1773,-2.23879227,-2.22922037,0.5664075804462028
